1;44444442;2024-10-13T23:51:16.622936200
1;44444442;2024-10-13T23:52:51.441573900
1;44444442;2024-10-13T23:53:44.013290800
1;44444442;2024-10-14T00:00:13.912543700
1;44444442;2024-10-17T18:09:50.625059200
1;44444442;2024-10-17T18:10:46.514700100
1;44444442;2024-10-17T18:11:27.064241700
1;44444442;2024-10-17T18:12:07.174660400
1;44444442;2024-10-17T18:12:34.413492300
1;44444442;2024-10-17T18:18:48.318209800
1;44444442;2024-10-17T20:47:33.252150
1;44444442;2024-10-17T20:49:48.260413100
1;44444442;2024-10-17T21:07:10.643968100
1;44444442;2024-10-17T22:03:46.051583100
1;44444442;2024-10-17T22:04:25.462366700
1;44444442;2024-10-17T22:06:01.330748
1;44444442;2024-10-17T22:07:15.616447
1;44444442;2024-10-17T22:12:45.555328100
1;44444442;2024-10-17T22:23:07.403249800
1;44444442;2024-10-17T22:23:48.654410500
1;44444442;2024-10-17T22:25:00.316403700
1;44444442;2024-10-17T22:28:31.590285
1;44444442;2024-10-17T22:32:00.074110100
1;44444442;2024-10-17T22:40:34.742258
1;44444442;2024-10-17T22:41:01.601757900
1;44444442;2024-10-17T22:41:14.585385700
1;44444442;2024-10-17T22:50:10.219897600
1;44444442;2024-10-17T22:51:01.173074300
1;44444442;2024-10-17T22:51:41.992302500
